DATA,M0,M1
2016 Nov 1,1071056,6078825
2016 Oct 1,1069340,5977257
2016 Sep 1,1066501,5917979
2016 Aug 1,1064305,5897453
2016 Jul 1,1067801,5899666
2016 Jun 1,1057708,5843527
2016 May 1,1049349,5818060
2016 Apr 1,1047084,5768153
2016 Mar 1,1042518,5678916
2016 Feb 1,1038867,5649348
2016 Jan 1,1037667,5628138
2015 Dec 1,1048926,5582552
2015 Nov 1,1034492,5557677
2015 Oct 1,1028789,5496462
2015 Sep 1,1026546,5411609
2015 Aug 1,1029364,5386693
2015 Jul 1,1031285,5377030
2015 Jun 1,1017083,5344124
2015 May 1,1006424,5296082
2015 Apr 1,999766,5203838
2015 Mar 1,990949,5128498
2015 Feb 1,983220,5078069
2015 Jan 1,979087,5051845
2014 Dec 1,980634,4987122
2014 Nov 1,956813,4851198
2014 Oct 1,950566,4757253
2014 Sep 1,947025,4721967
2014 Aug 1,946755,4682412
2014 Jul 1,944707,4647864
2014 Jun 1,935294,4646780
2014 May 1,928897,4608657
2014 Apr 1,921814,4558164
2014 Mar 1,916522,4525505
2014 Feb 1,910194,4498957
2014 Jan 1,908272,4491693
2013 Dec 1,921221,4504705
2013 Nov 1,903364,4509543
2013 Oct 1,897951,4467782
2013 Sep 1,894026,4435026
2013 Aug 1,894196,4412987
2013 Jul 1,892804,4388467
2013 Jun 1,885908,4405497
2013 May 1,879698,4367324
2013 Apr 1,874708,4346994
2013 Mar 1,867536,4284997
2013 Feb 1,855786,4246090
2013 Jan 1,856975,4235429
2012 Dec 1,876787,4274604
2012 Nov 1,864074,4227542
2012 Oct 1,864266,4192204
2012 Sep 1,866652,4156197
2012 Aug 1,870166,4108846
2012 Jul 1,871509,4111242
2012 Jun 1,867744,4090482
2012 May 1,856303,4026782
2012 Apr 1,847598,3989551
2012 Mar 1,844906,3986919
2012 Feb 1,842541,3939305
2012 Jan 1,842958,3972777
2011 Dec 1,857482,4009152
2011 Nov 1,841367,3941061
2011 Oct 1,837498,3928010
2011 Sep 1,831170,3927310
2011 Aug 1,823445,3909347
2011 Jul 1,828194,3923242
2011 Jun 1,819663,3949685
2011 May 1,810435,3904277
2011 Apr 1,805450,3921416
2011 Mar 1,798344,3894592
2011 Feb 1,796244,3881447
2011 Jan 1,796249,3915722
2010 Dec 1,808562,3945828
2010 Nov 1,790206,3897546
2010 Oct 1,789040,3882765
2010 Sep 1,786756,3877651
2010 Aug 1,787969,3875091
2010 Jul 1,793930,3902279
2010 Jun 1,785493,3927948
2010 May 1,778963,3884806
2010 Apr 1,772608,3853247
2010 Mar 1,768585,3775732
2010 Feb 1,759517,3779361
2010 Jan 1,757084,3797028
2009 Dec 1,769871,3786299
2009 Nov 1,749965,3722382
2009 Oct 1,745290,3689279
2009 Sep 1,740515,3638832
2009 Aug 1,741044,3576584
2009 Jul 1,745341,3565660
2009 Jun 1,734897,3576736
2009 May 1,731911,3489218
2009 Apr 1,729136,3468434
2009 Mar 1,719841,3410931
2009 Feb 1,715829,3386039
2009 Jan 1,712199,3383951
2008 Dec 1,722746,3312996
2008 Nov 1,703624,3266057
2008 Oct 1,698784,3245683
2008 Sep 1,657080,3219936
2008 Aug 1,655993,3134304
2008 Jul 1,658817,3180214
2008 Jun 1,652087,3262837
2008 May 1,645746,3222276
2008 Apr 1,641391,3196141
2008 Mar 1,632868,3219659
2008 Feb 1,628987,3172146
2008 Jan 1,623127,3228500
2007 Dec 1,638551,3262730
2007 Nov 1,618655,3217861
2007 Oct 1,613502,3182530
2007 Sep 1,610479,3217278
2007 Aug 1,610644,3143748
2007 Jul 1,612926,3223299
2007 Jun 1,604978,3244609
2007 May 1,597610,3182872
2007 Apr 1,594796,3163819
2007 Mar 1,588522,3150466
2007 Feb 1,578720,3099390
2007 Jan 1,575640,3110098
2006 Dec 1,592122,3166489
2006 Nov 1,571419,3041374
2006 Oct 1,566998,2999558
2006 Sep 1,563110,3020760
2006 Aug 1,558909,2959415
2006 Jul 1,562621,3012367
2006 Jun 1,553658,3047023
2006 May 1,543523,3008545
2006 Apr 1,540257,2994201
2006 Mar 1,532187,2937423
2006 Feb 1,524765,2917840
2006 Jan 1,520777,2923562
2005 Dec 1,532738,2949399
2005 Nov 1,514338,2864801
2005 Oct 1,510363,2839559
2005 Sep 1,507014,2816134
2005 Aug 1,500775,2768367
2005 Jul 1,506284,2814597
2005 Jun 1,496407,2808455
2005 May 1,485829,2578250
2005 Apr 1,481074,2549975
2005 Mar 1,471751,2525821
2005 Feb 1,463566,2506553
2005 Jan 1,459893,2506096
2004 Dec 1,468426,2480457
2004 Nov 1,448753,2464952
2004 Oct 1,444394,2421605
2004 Sep 1,438041,2419066
2004 Aug 1,433400,2362274
2004 Jul 1,436246,2398549
2004 Jun 1,423014,2410370
2004 May 1,416623,2371977
2004 Apr 1,409373,2361288
2004 Mar 1,399591,2345936
2004 Feb 1,393469,2309843
2004 Jan 1,389117,2313758
2003 Dec 1,397902,2329186
2003 Nov 1,379148,2288606
2003 Oct 1,371239,2249123
2003 Sep 1,364830,2250763
2003 Aug 1,362668,2210482
2003 Jul 1,361475,2223320
2003 Jun 1,351042,2254402
2003 May 1,343756,2217718
2003 Apr 1,336320,2190798
2003 Mar 1,327218,2170291
2003 Feb 1,319317,2131880
2003 Jan 1,312120,2128755
2002 Dec 1,341158,2158271
2002 Nov 1,321353,2093233
2002 Oct 1,313872,2041209
2002 Sep 1,306676,2057765
2002 Aug 1,301114,2000339
2002 Jul 1,296574,2031535
2002 Jun 1,285696,2064058
2002 May 1,273847,2016685
2002 Apr 1,261655,2016458
2002 Mar 1,254298,1984354
2002 Feb 1,240476,1987825
2002 Jan 1,246680,1992658
2001 Dec 1,239720,2039256
2001 Nov 1,279707,1930867
2001 Oct 1,295453,1880269
2001 Sep 1,309607,1877692
2001 Aug 1,319234,1809146
2001 Jul 1,328033,1839946
2001 Jun 1,333023,1858421
2001 May 1,332902,1817436
2001 Apr 1,336171,1793592
2001 Mar 1,336281,1759720
2001 Feb 1,335032,1748981
2001 Jan 1,336070,1747633
2000 Dec 1,348369,1736231
2000 Nov 1,337698,1683180
2000 Oct 1,337602,1664477
2000 Sep 1,339817,1662426
2000 Aug 1,338781,1650574
2000 Jul 1,343909,1678902
2000 Jun 1,342023,1682215
2000 May 1,338382,1670698
2000 Apr 1,338582,1688560
2000 Mar 1,335456,1650595
2000 Feb 1,331989,1641806
2000 Jan 1,333840,1648745
1999 Dec 1,350787,1621258
1999 Nov 1,331071,1587007
1999 Oct 1,330544,1552422
1999 Sep 1,328282,1548263
1999 Aug 1,327370,1523620
1999 Jul 1,332861,1552554
1999 Jun 1,324790,1561903
1999 May 1,322403,1521106
1999 Apr 1,320733,1490288
1999 Mar 1,318574,1477871
1999 Feb 1,313911,1461774
1999 Jan 1,314331,1491645
1998 Dec 1,323437,1461961
1998 Nov 1,314284,1395375
1998 Oct 1,313372,1346705
1998 Sep 1,311823,1345317
1998 Aug 1,315095,1320018
1998 Jul 1,320715,1327305
1998 Apr 1,314877,1300403
1998 May 1,317279,1320936
1998 Feb 1,311818,1257558
1998 Jan 1,311449,1255775
1997 Dec 1,320614,1306250
1997 Nov 1,314712,1245620
1997 Oct 1,311745,1213787
1997 Sep 1,311131,1211745
1998 Jun 1,315514,1370816
1998 Mar 1,311850,1287766
